SampleID,StationID,year,lat,long,temperature,sp1,sp2,sp3
Sample_1,SiteA,2005,56.84829738584863,-1.2981929754100299,11.826105847031645,4,3,7
Sample_2,SiteA,2002,54.80931901484361,0.12620549536735348,12.349712371110634,3,3,6
Sample_3,SiteA,2004,53.92117518194151,0.12731034838746424,15.047808990835902,4,0,7
Sample_4,SiteA,2002,53.4317801615087,0.5376038342052842,10.7368395195606,4,1,8
Sample_5,SiteA,2001,57.29049707384041,1.3977271763111583,13.469609381436225,6,4,4
Sample_6,SiteB,2003,54.385722446796244,0.897821299442541,13.44690210663715,2,1,6
Sample_7,SiteB,2002,50.596778966095684,0.4440940427103315,13.94948078120245,2,1,6
Sample_8,SiteB,2003,53.980442553304314,0.8897735302808862,13.406642322366624,2,2,7
Sample_9,SiteB,2001,57.379954057320354,-0.7081643445872872,12.498089783779722,2,0,6
Sample_10,SiteB,2001,51.824917304535,-0.5528453775107436,13.410810455702466,3,0,5
